1,1408193451,주식회사 중원비엠씨,김유자,345,426,87.747,01 08,2018/03/29 15:04:32, ,
2,1418113746,주식회사 신한강개발,조영선,345,480,87.761,14 13,2018/03/27 12:17:21, ,
3,1308656380,주식회사 이엔지환경,윤형진,345,550,87.778,01 06,2018/03/26 17:30:22, ,
4,1238138899,자연엔지니어링(주),김순영,345,568,87.783,03 05,2018/03/29 10:38:13, ,
5,3068700705,주식회사 도움넷비엠씨,민경채,345,590,87.788,09 06,2018/03/30 14:27:08, ,
6,1298651139,(주)선두기업,김양희,345,610,87.794,02 03,2018/03/30 14:02:13, ,
7,1468600974,주식회사 행복나눔,김영자,345,680,87.811,06 03,2018/03/27 08:39:29, ,
8,1248712536,다솜환경(주),양이순,345,681,87.812,04 15,2018/04/02 10:49:29, ,
9,2893400141,신광종합환경,민정순,345,830,87.849,15 05,2018/04/01 09:51:52, ,
10,1388601841,주식회사미미,남궁광숙,345,863,87.858,02 09,2018/04/02 06:54:00, ,
11,1328633480,주식회사 새마음씨앤에스,임수련,345,879,87.862,10 06,2018/04/02 12:56:30, ,
12,1348629624,화성환경 합자회사,조옥분,345,900,87.867,10 07,2018/03/30 10:10:24, ,
13,1341421998,KS종합관리,최 귀 복,345,950,87.880,04 10,2018/03/31 17:45:53, ,
13,1238196720,삼우서비스주식회사,김성용,345,950,87.880,10 14,2018/04/02 08:56:32, ,
15,1233791907,한국방역공사,이용현,345,963,87.883,01 03,2018/04/01 18:18:23, ,
16,1318670798,푸르시안블루 주식회사,이정화,346,033,87.901,13 10,2018/04/02 05:51:53, ,
17,1248734146,주식회사 크린아트,김기상,346,200,87.943,05 10,2018/03/27 15:33:16, ,
18,1248680454,주식회사예건씨앤씨,이승구,346,213,87.947,10 04,2018/03/30 07:53:47, ,
19,1348149697,(주)태성안전,심점례,346,270,87.961,14 03,2018/04/02 09:36:50, ,
20,1348694751,범진티에스주식회사,엄혜란,346,300,87.969,07 08,2018/03/28 09:56:26, ,
20,1348644678,주식회사 원동,이원선,346,300,87.969,06 14,2018/04/02 09:51:24, ,
22,3782500100,제일복지방역,장재영,346,313,87.972,08 03,2018/04/02 08:43:27, ,
23,1258183707,(주)정심씨앤에스,이정심,346,316,87.973,05 12,2018/03/30 10:02:06, ,
24,1328616818,주식회사 바우조경과환경,신영권,346,320,87.974,01 05,2018/04/02 09:21:14, ,
25,1478700407,주식회사 미토,정옥자,346,349,87.981,14 06,2018/03/30 11:52:55, ,
26,1288687309,주식회사 디오종합관리,김상섭,346,402,87.995,07 01,2018/04/02 00:20:57, ,
27,1248643518,(주) 한길이앤씨,이천식,346,500,88.020,04 13,2018/04/02 08:25:02, ,
28,1348619368,주식회사 신세기시스템,권명숙,346,523,88.025,04 09,2018/03/27 10:40:11, ,
29,1308634391,주식회사 서빈티에스씨,엄숙희,346,604,88.046,03 04,2018/04/02 12:58:51, ,
30,2318105855,주식회사 클린현대,장영광,346,614,88.049,01 02,2018/04/01 19:07:13, ,
31,5468600932,주식회사 푸르지오,최현숙,346,635,88.054,14 06,2018/03/30 06:58:53, ,
32,1308183505,주식회사 창세환경,천창봉,346,666,88.062,06 12,2018/03/30 08:31:32, ,
33,1342602086,한국클린환경,이상돈,346,690,88.068,06 12,2018/04/01 13:02:21, ,
34,1293419090,크린에이스,김호진,346,826,88.102,06 01,2018/03/30 11:16:15, ,
35,1248682694,세종환경(주),이현석,346,827,88.103,12 07,2018/03/27 17:39:48, ,
36,1298668305,선라이즈 주식회사,이옥자,346,838,88.105,15 13,2018/04/02 09:30:05, ,
37,1288176336,한마음이앤지(주),최병용,346,854,88.110,05 01,2018/04/02 09:27:09, ,
38,6121766633,남양종합관리,홍영순,346,900,88.121,11 07,2018/03/30 21:25:58, ,
39,1328610885,주식회사 케이제이시스템,홍지민,346,950,88.134,01 10,2018/03/30 20:54:28, ,
40,1348119780,현대빌딩관리(주),이태섭,346,965,88.138,12 15,2018/04/02 09:44:09, ,
41,1231611441,현대환경관리,이재용,346,971,88.139,04 13,2018/03/31 22:37:14, ,
42,1283923413,고양종합관리,함상돈,346,973,88.140,09 15,2018/03/29 12:53:37, ,
43,1428135587,(주)그린바이오,이상필,346,978,88.141,04 11,2018/03/29 20:25:03, ,
43,1298641494,한국도시환경(주),이기엽,346,978,88.141,07 14,2018/04/02 08:46:17, ,
45,1408165810,주식회사 에스캅시큐리티,이지은,346,995,88.145,14 11,2018/04/01 10:34:10, ,
46,7751200956,클린시티,진동원,347,000,88.147,15 11,2018/04/01 19:25:00, ,
47,7800300048,크렉스,박학순,347,016,88.151,02 03,2018/03/29 16:31:36, ,
48,1348160936,주식회사신강개발,최해진,347,020,88.152,06 08,2018/04/02 09:43:09, ,
49,1288647665,(주)효원이엔씨,차호규,347,100,88.172,15 03,2018/04/02 13:53:28, ,
50,1238609502,에이원이엠에스(주),장부열,347,105,88.173,15 14,2018/04/02 07:46:48, ,
