1,3121283417,바름건축사사무소,정명순,27,123,900,88.149,14 09,2018/03/29 15:36:10, ,
2,3128164191,(주)라인건축사사무소,석영일,27,158,380,88.261,06 01,2018/03/29 17:59:50, ,
3,3120826215,종합건축사사무소천우인,서관희,27,245,700,88.545,02 10,2018/03/28 16:54:56, ,
4,3141216501,원 종합건축사사무소,홍원기,27,254,700,88.574,06 12,2018/03/30 13:38:13, ,
5,8958100765,(주)바우플랜종합건축사사무소,박명순,27,281,000,88.659,01 10,2018/04/02 08:18:28, ,
6,3110241996,큐빅엔지니어링한광희건축사사무소,한광희,27,287,729,88.681,10 11,2018/03/29 14:43:04, ,
7,1328127120,주식회사 강호엔지니어링건축사사무소,손근용,27,314,000,88.766,12 05,2018/03/30 09:37:56, ,
8,3123264290,가림건축사사무소,정신익,27,362,000,88.922,03 14,2018/03/29 13:38:53, ,
9,4440800074,유니크 건축사사무소,강명조,27,473,525,89.285,11 08,2018/03/30 10:07:11, ,
,1416400114,연이건축사사무소,김해성,27,001,680,87.751,10 06,2018/03/30 15:29:19,낙찰하한선 미달,
,5012565907,바른건축사사무소,강영찬,27,067,850,87.967,03 08,2018/03/30 17:48:55,낙찰하한선 미달,
,3123328234,건축사사무소 공존,전용철,33,517,500,108.927,10 03,2018/03/30 09:07:17,예가초과,
