1,8928800275,(주)태현,신상칠,37,840,000,88.473,15 01,2018/03/26 17:14:36, ,
2,2318103196,태인산업주식회사,최한규,37,876,780,88.559,05 04,2018/03/27 14:40:39, ,
3,7478700279,도시산업개발 주식회사,채중석,37,958,600,88.750,02 01,2018/03/26 18:05:33, ,
4,1278626589,운화산업(주),윤한준,38,057,000,88.980,12 07,2018/03/27 17:38:53, ,
5,1278653596,청명산업주식회사,이율재,38,061,000,88.990,09 02,2018/03/27 11:00:50, ,
6,1278622870,주식회사 대아환경,황영수,38,158,840,89.218,12 07,2018/03/27 16:03:38, ,
7,2798700252,주식회사 제이에이치산업,정민웅,38,420,000,89.829,06 05,2018/03/27 12:52:06, ,
8,1278604246,고산환경산업 주식회사,장효순,38,592,000,90.231,15 04,2018/03/26 11:19:56, ,
,1278144049,(주)에이치엠개발,이문수,37,521,000,87.727,04 10,2018/03/27 17:01:32,낙찰하한선 미달,
,1278618997,처리산업 주식회사,장창순,37,602,000,87.916,13 14,2018/03/26 22:15:11,낙찰하한선 미달,
