1,1278122201,산양환경산업 주식회사,장택무,31,780,87.812,09 14,2018/04/02 09:36:31, ,
2,1368129455,진명기업주식회사,최환준,31,820,87.923,04 13,2018/04/01 14:10:50, ,
3,1248190239,삼흥산업개발(주),염태욱,31,900,88.144,11 04,2018/03/29 13:34:41, ,
4,1328130310,(주)방태,김용남,31,915,88.185,12 08,2018/04/02 08:15:02, ,
5,1268128804,현대환경(주),고광만,32,010,88.448,06 15,2018/03/28 10:28:26, ,
6,1288131815,인선이엔티 주식회사,이준길,32,040,88.530,10 08,2018/03/30 14:57:53, ,
7,1258152882,광일환경 주식회사,김명환,32,086,88.658,04 12,2018/03/31 12:06:34, ,
,1328113382,(주)원보,유길문,31,250,86.348,07 12,2018/03/29 12:02:56,낙찰하한선 미달,
,1308176931,우광개발주식회사,임태권,31,600,87.315,12 07,2018/04/02 09:04:41,낙찰하한선 미달,
,1418106100,덕성개발 주식회사,지영선,70,796,800,999.999,14 12,2018/03/30 16:29:00,예가초과,
