1,1358132786,대양디아이 주식회사,최계월,18.72,,,2018/03/28 09:57:51, ,
2,1128121156,한국방역개발(주),한기봉,19.99,,,2018/03/22 14:37:09, ,
3,1098174171,(주)좋은서비스,김호열,25.93,,,2018/03/29 11:03:06, ,
4,1088166101,주식회사 국보종합관리,김시종,26.55,,,2018/03/27 13:08:42, ,
5,5068176308,주식회사 다원이엔씨,황보정희,39.55,,,2018/03/29 11:02:27, ,
6,2138109213,(주)우원방제,이근영,38,304,000,,,2018/03/29 16:56:51, ,
7,2048609849,주식회사 티에이치서비스,황영숙,42,011,600,,,2018/03/29 09:48:54, ,
1,1358132786,대양디아이 주식회사,최계월,18.72,,,2018/03/28 09:57:51, ,
2,1128121156,한국방역개발(주),한기봉,19.99,,,2018/03/22 14:37:09, ,
3,1098174171,(주)좋은서비스,김호열,25.93,,,2018/03/29 11:03:06, ,
4,1088166101,주식회사 국보종합관리,김시종,26.55,,,2018/03/27 13:08:42, ,
5,5068176308,주식회사 다원이엔씨,황보정희,39.55,,,2018/03/29 11:02:27, ,
6,2138109213,(주)우원방제,이근영,38,304,000,,,2018/03/29 16:56:51, ,
7,2048609849,주식회사 티에이치서비스,황영숙,42,011,600,,,2018/03/29 09:48:54, ,
