1,5140544666,드림컴시스템,정일구,8.873,80.590,05 02,2018/03/27 10:38:46, ,
2,5041958480,광성OA시스템,서학렬,8.876,80.617,04 03,2018/03/28 11:46:48, ,
3,5038613712,주식회사 삼성프린팅솔루션,김승필,8.895,80.790,14 13,2018/03/28 20:50:32, ,
4,5148131146,(주)하이넷,이창환,8.899,80.826,08 06,2018/03/28 18:54:55, ,
4,5030375262,롯데캐논OA프라자,배종훈,8.899,80.826,02 08,2018/03/28 09:37:10, ,
6,5043561461,일진컴퓨터시스템,박진우,8.904,80.871,13 10,2018/03/28 18:55:03, ,
7,4527100079,이룸닷컴,백영란,8.91,80.926,04 15,2018/03/29 00:08:19, ,
8,8633900250,삼보,한영수,8.93,81.108,04 08,2018/03/28 21:42:24, ,
9,5022643387,베스트디지탈,유성원,8.945,81.244,14 06,2018/03/28 18:09:43, ,
10,6323200375,정민상사,김석현,8.95,81.289,10 07,2018/03/29 06:26:55, ,
10,5148165684,주식회사 모바일테크 (MobileTech Co., Ltd.),박태흠,8.95,81.289,15 02,2018/03/28 18:25:32, ,
12,5022074966,금성O. A통신,신동준,8.952,81.307,03 11,2018/03/28 21:02:00, ,
13,5051035658,이데문구,황현진,8.997,81.716,13 14,2018/03/28 19:08:47, ,
14,5031184126,에이스OA시스템,주상범,9.009,81.825,06 05,2018/03/28 19:30:56, ,
15,5021855438,신화전산,김윤수,9.028,81.998,04 08,2018/03/28 13:40:17, ,
16,5043111681,이파워엔지니어링,남시대,9.1,82.652,03 13,2018/03/29 09:36:51, ,
17,5140341103,신세기정보,김홍철,9.152,83.124,07 03,2018/03/28 20:07:35, ,
18,5142651347,에스티,김종화,9.41,85.467,13 11,2018/03/27 23:44:34, ,
19,5140568727,신우OA시스템,최기섭,9.415,85.513,03 12,2018/03/27 15:31:33, ,
20,8704800264,푸른세상,신영주,10.7,97.184,15 09,2018/03/29 08:05:38, ,
21,5028183995,(주)오에이뱅크,정옥숙,11,99.909,07 01,2018/03/28 11:49:31, ,
,5041977250,정우OA통신,이창효,8.56,77.747,12 05,2018/03/28 10:27:05,낙찰하한선 미달,
,5048173284,주식회사 엘리트정보,장진숙,8.69,78.928,10 14,2018/03/28 23:25:03,낙찰하한선 미달,
,5040743835,평산상사,신윤석,8.8,79.927,11 05,2018/03/29 01:01:46,낙찰하한선 미달,
,5020159488,청명정보,이진우,8.816,80.072,09 07,2018/03/28 09:55:24,낙찰하한선 미달,
,5041935420,엔유(NU),예영숙,8.82,80.108,04 12,2018/03/29 08:27:26,낙찰하한선 미달,
,4942800344,예인상사,김경희,8.83,80.199,02 04,2018/03/29 03:42:37,낙찰하한선 미달,
,5142701558,제로시스템,박해경,8.837,80.263,09 11,2018/03/29 09:59:14,낙찰하한선 미달,
,5101765828,토탈OA솔루션,김상규,8.843,80.317,08 02,2018/03/28 10:53:38,낙찰하한선 미달,
,5028622824,삼성사무기총판주식회사,김상규,8.845,80.336,07 10,2018/03/28 11:07:14,낙찰하한선 미달,
,5032118630,디지털신세기,정미경,8.853,80.408,04 15,2018/03/27 15:58:26,낙찰하한선 미달,
,5021883889,대성오피스솔루션,이대성,8.854,80.417,11 15,2018/03/28 22:42:39,낙찰하한선 미달,
,5031456091,동아OA시스템,이기범,8.854,80.417,06 11,2018/03/27 17:14:07,낙찰하한선 미달,
,5040464727,동아정보통신,최희수,8.86,80.472,01 02,2018/03/27 12:07:38,낙찰하한선 미달,
,1336400068,가온누리,손언익,11.3,102.633,10 09,2018/03/29 10:39:58,예가초과,
,5010346757,세원테크,이승규,65,383,000,999.999,03 14,2018/03/28 13:46:50,예가초과,
