1,3148648362,승일미디어그룹 주식회사,정재원,14,990,000,,,2018/04/02 10:58:06, ,
2,1048149624,(주)드림애드앤프린팅그룹,김평일,16,535,000,,,2018/03/31 13:43:03, ,
3,3252600326,디자인스튜디오 용,김용주,22,000,000,,,2018/03/30 14:34:26, ,
4,2012261558,한진기획,정영애,22,191,000,,,2018/03/29 12:15:59, ,
5,3060392976,부운디자인,나기수,22,800,000,,,2018/03/30 21:19:15, ,
6,1068682089,주식회사 에이치그라운드,전경주,22,870,000,,,2018/04/02 10:49:49, ,
7,1058723667,주식회사에이크리에이티브그룹,임상용,23,015,000,,,2018/04/02 13:48:56, ,
8,1028112228,(주)계문사,류윤현,23,049,763,,,2018/04/02 13:20:35, ,
9,1071835218,동서문화,김용만,23,700,000,,,2018/03/29 07:53:45, ,
10,1048185353,주식회사 씨마스커뮤니케이션,이미래,24,663,100,,,2018/03/30 13:20:03, ,
11,1308661224,주식회사 오즈하우스,신방식,24,840,000,,,2018/03/29 16:25:36, ,
12,1198691584,주식회사 디테크,한명숙,24,860,000,,,2018/04/02 13:39:36, ,
13,2068616332,(주) 피알앤북스,정장호,26,200,000,,,2018/03/31 11:49:46, ,
14,4098618787,나코디자인그룹(주),최오인,26,210,000,,,2018/03/30 11:02:41, ,
15,1418132364,주식회사 한산에이치이피,임익규,26,270,310,,,2018/03/30 19:26:43, ,
16,3080990675,아누바이오,이상수,26,400,000,,,2018/03/28 17:38:58, ,
16,4028182833,주식회사 문화,임은미,26,400,000,,,2018/03/30 08:55:00, ,
18,4108632912,유한회사 창해,류제성,26,409,630,,,2018/04/02 08:16:28, ,
19,6058626963,주식회사 코리아애드,김형출,26,550,000,,,2018/03/30 13:51:30, ,
20,4028139748,(주)한국방송미디어,최한성,26,773,500,,,2018/03/30 14:42:21, ,
21,1050570636,디자인이음,이상영,26,919,200,,,2018/03/31 23:30:15, ,
22,1200948941,무게중심창의력연구소,박민홍,27,049,470,,,2018/03/30 12:08:24, ,
23,4088166210,주식회사 엔디,고숙자,29,100,000,,,2018/04/01 23:01:07, ,
24,2012662142,배원인쇄사,고경열,29,433,300,,,2018/04/02 10:40:56, ,
