1,2118640703,(주)동우유니온,김준언,,,13 05,2018/03/27 16:34:14, ,
2,1068656091,주식회사 케이에스메이트,정화,,,15 08,2018/03/22 14:40:08, ,
3,1078137995,명진기업(주),홍숙이,,,10 07,2018/03/27 09:08:08, ,
,2158732648,주식회사 유안에이치알,신현욱,,,12 01,2018/03/28 09:40:07,협상평가부적격자,
,2098108097,(주)국제안전시스템,송선례,,,,,제안서미제출,
,4108182440,(주)신우이엔지,하민호,,,,,제안서미제출,
,6208126176,(주)진솔,조영희,,,,,제안서미제출,
,1238152606,남광개발(주),남길석,,,,,제안서미제출,
,2268122279,승화(유한),박용준,,,,,제안서미제출,
,2258119242,신광환경합자회사,서도훈,,,,,제안서미제출,
,4028169510,유한회사 대지종합이엔시,박미량,,,,,제안서미제출,
,6908600700,주식회사 드림유니온,정보영,,,,,제안서미제출,
,1348619368,주식회사 신세기시스템,권명숙,,,,,제안서미제출,
,1308198949,주식회사드림이앤씨,진기상,,,,,제안서미제출,
,3138800374,행복종합자산관리주식회사,김중훈,,,,,제안서미제출,
