1,1388101278,주식회사 이산,이원찬,1,292,800,000,79.074,08 15,2018/04/02 11:00:33, ,
2,1178108600,주식회사 선진엔지니어링종합건축사사무소,김동수,1,323,188,000,80.932,12 07,2018/04/02 09:47:29, ,
3,1278160942,주식회사 케이지엔지니어링종합건축사사무소,천병희,1,324,970,000,81.041,03 01,2018/04/02 09:53:53, ,
4,1388101152,주식회사 건화,최진상,1,325,480,000,81.073,08 14,2018/04/02 13:28:35, ,
5,2048108919,주식회사 동명기술공단종합건축사사무소,신완수,1,342,600,000,82.120,13 11,2018/04/02 09:31:35, ,
6,1298120591,주식회사 한국종합기술,이인제,1,352,000,000,82.695,08 13,2018/04/02 09:08:02, ,
7,2298115229,주식회사 신우엔지니어링,염재준,1,357,340,000,83.021,08 02,2018/04/02 13:19:50, ,
8,1388104732,주식회사 한국종합엔지니어링,한명웅,1,358,900,000,83.117,15 02,2018/03/30 15:47:26, ,
9,3088107508,주식회사 건양기술공사건축사사무소,유대현,1,372,500,000,83.949,02 07,2018/03/30 15:29:58, ,
,3128111675,주식회사 경동엔지니어링,강재홍,1,287,795,000,78.768,07 02,2018/04/02 08:57:49,적격점수미달,
,2118108009,주식회사 도화엔지니어링,박승우,1,290,500,000,78.933,09 05,2018/04/02 09:33:49,적격점수미달,
