1,1200691511,동진포장중기,김경자,48,453,790,88.053,10 13,2018/03/26 21:41:36, ,
2,1410130587,형제중기,전선자,48,480,610,88.102,12 07,2018/03/26 15:13:39, ,
3,6098124792,합자회사 성원건설,김선희,48,490,260,88.119,07 13,2018/03/23 16:59:16, ,
4,1410161208,대림건설골재중기,최순정,48,518,900,88.171,09 02,2018/03/23 14:18:40, ,
5,1410390385,지원건설중기,송현석,48,551,720,88.231,10 09,2018/03/26 08:03:23, ,
6,1410503623,파주골재중기,권오학,48,597,600,88.314,02 01,2018/03/27 05:25:17, ,
7,2110390573,동진건설기계,정덕원,48,634,300,88.381,02 03,2018/03/26 19:29:09, ,
8,1418133010,주식회사 피엠이엔씨,최경숙,48,737,700,88.569,04 12,2018/03/26 22:42:04, ,
9,1021093444,파주중기,김인섭,48,757,760,88.606,09 01,2018/03/27 06:53:37, ,
10,1410260114,PM E＆C,배대근,48,982,820,89.015,09 03,2018/03/27 08:36:40, ,
,6148600652,국민건기 주식회사,배장록,44,444,770,80.768,03 06,2018/03/26 21:07:22,낙찰하한선 미달,
,1281996368,파주건설기계,권영환,47,698,400,86.680,09 04,2018/03/27 12:05:00,낙찰하한선 미달,
,1418131647,주식회사 옥인포장건설,정세은,47,698,900,86.681,14 03,2018/03/26 19:52:42,낙찰하한선 미달,
,5451300328,영진포장중기,이은주,47,824,000,86.909,15 03,2018/03/26 21:16:51,낙찰하한선 미달,
,1050415621,자유로중기,김재일,47,878,900,87.008,05 08,2018/03/26 13:48:06,낙찰하한선 미달,
,1288138195,삼우건설(주),김영관,47,878,910,87.008,05 13,2018/03/27 07:21:50,낙찰하한선 미달,
,1410400293,효자포장중기,정지인,47,879,000,87.009,02 12,2018/03/26 20:11:00,낙찰하한선 미달,
,1410471876,korea건설,김상철,47,991,590,87.213,13 15,2018/03/23 15:12:18,낙찰하한선 미달,
,1282787490,금상건설중기,문상진,48,152,410,87.505,15 13,2018/03/26 19:40:02,낙찰하한선 미달,
,4981300681,삼손포장중기,정수정,48,162,000,87.523,12 13,2018/03/27 10:16:04,낙찰하한선 미달,
,1410521257,윤건설중기,윤수봉,48,164,000,87.527,14 07,2018/03/26 10:10:33,낙찰하한선 미달,
,1282293677,금호건설기계,이수진,48,175,930,87.548,09 06,2018/03/26 14:25:26,낙찰하한선 미달,
,1050373702,왕보건설중기,전장선,48,184,100,87.563,02 14,2018/03/26 15:40:41,낙찰하한선 미달,
,1410474039,자유로건설중기,최온전,48,216,201,87.621,14 12,2018/03/26 10:44:26,낙찰하한선 미달,
,1410480642,등원건설기계,김성웅,48,221,900,87.632,01 05,2018/03/26 21:58:25,낙찰하한선 미달,
,1410532623,현담건설중기,김정웅,48,232,200,87.650,07 08,2018/03/26 18:19:11,낙찰하한선 미달,
,1288135621,파주시건설기계협회(주),방종천,48,332,920,87.833,15 02,2018/03/23 16:18:00,낙찰하한선 미달,
,1076877080,지원중기,송재헌,48,365,740,87.893,09 07,2018/03/26 15:13:17,낙찰하한선 미달,
,1100369175,성원포장중기,홍순형,48,366,000,87.894,02 10,2018/03/26 09:21:57,낙찰하한선 미달,
,1051024102,금촌건설기계,심형선,48,389,560,87.936,11 13,2018/03/27 10:56:11,낙찰하한선 미달,
