1,5018115946,(주)여행닷컴,박회국,8,972,700,90.041,02 03,2018/03/28 18:49:24, ,
2,5028607575,주식회사 브이아이피투어,노주희,8,973,300,90.047,09 11,2018/03/30 09:55:06, ,
3,5048615182,(주)보화여행사,조현백,8,977,000,90.084,06 14,2018/03/29 14:58:37, ,
4,7898100854,주식회사 지니항공투어,이호길,8,977,800,90.092,08 15,2018/03/30 10:25:50, ,
5,5038214085,대구전세버스 협동조합,박해일,8,978,670,90.101,01 14,2018/03/29 16:11:58, ,
6,5048132809,(주)대구무궁화관광,장규협,8,979,100,90.105,06 15,2018/03/30 10:57:50, ,
7,5028637050,뉴부림고속관광 주식회사,문홍국,8,979,200,90.106,15 03,2018/03/29 14:44:39, ,
8,5148136501,경방고속관광 주식회사,안성관,8,982,900,90.144,09 10,2018/03/29 15:06:45, ,
9,5048149523,(주)구룡관광여행사,이재원,8,987,000,90.185,09 10,2018/03/30 12:00:18, ,
10,5028153322,부림고속관광(주),신현욱,8,988,000,90.195,02 11,2018/03/29 15:38:50, ,
11,5048183730,주식회사 문화고속관광여행사,안성진,8,989,800,90.213,11 08,2018/03/30 10:14:08, ,
12,5028132759,(주)그랜드관광,구윤회,8,992,100,90.236,13 08,2018/03/29 15:50:23, ,
13,5048132828,(주)서라벌관광,이기하,8,996,850,90.284,12 04,2018/03/29 12:18:08, ,
14,5048156951,(주)엑스코투어,배주열,9,000,000,90.315,11 14,2018/03/27 18:48:11, ,
15,5138132588,주식회사삼성그린투어,이강태,9,009,000,90.405,08 05,2018/03/30 02:54:09, ,
16,4228700671,(주)진에어투어,김희진,9,014,000,90.456,11 01,2018/03/30 11:27:11, ,
17,5038170362,대구관광여행사(주),김해숙,9,015,000,90.466,13 05,2018/03/27 15:14:34, ,
18,5148136383,이천이월드고속관광(주),김석동,9,017,300,90.489,09 11,2018/03/29 20:28:14, ,
19,5038166102,(주)미래여행사,서승혜,9,020,000,90.516,10 09,2018/03/29 15:25:32, ,
19,5018103343,주식회사 경북관광,정은채,9,020,000,90.516,01 15,2018/03/29 18:28:56, ,
19,2958600198,주식회사 올림피아관광여행사,박하나,9,020,000,90.516,02 10,2018/03/29 19:51:53, ,
22,5048106242,주식회사 뉴평화관광여행사,조미현,9,021,200,90.528,10 03,2018/03/30 09:06:39, ,
23,5148131753,비젼투어주식회사(Vision Tour Co. , Ltd.),김동휴,9,026,000,90.576,10 01,2018/03/29 17:15:33, ,
24,5048611605,주식회사 신프린스고속관광,이명희,9,029,100,90.607,02 13,2018/03/29 15:21:29, ,
25,5048612768,주식회사 대진관광여행사,노경혜,9,030,060,90.617,11 09,2018/03/29 18:55:32, ,
26,5018106748,협성나이스투어(주),김제진,9,033,200,90.648,09 07,2018/03/28 13:46:19, ,
27,5028150873,주식회사 캔유여행사,허난영,9,038,000,90.696,12 02,2018/03/29 16:44:48, ,
28,5148125552,주식회사 일석관광,손제원,9,045,500,90.772,08 07,2018/03/30 09:14:48, ,
29,5028626228,주식회사 우리들여행사,서대현,9,046,895,90.786,11 10,2018/03/29 17:51:09, ,
30,5018118526,(주)통일관광여행사,권윤혜,9,054,100,90.858,03 06,2018/03/28 17:11:17, ,
31,5148176560,탑클래스투어 주식회사,주석원,9,055,364,90.871,11 03,2018/03/28 14:47:06, ,
32,5018101952,경상관광(주),장재호,9,056,150,90.879,07 13,2018/03/30 09:02:42, ,
33,5028131503,(주)세일관광여행사,김명숙,9,058,100,90.898,14 15,2018/03/30 09:10:21, ,
34,6458600466,주식회사 이편한여행,오재욱,9,059,000,90.907,14 15,2018/03/30 11:43:31, ,
35,5028617850,대구부림여행사 주식회사,장재민,9,061,700,90.934,07 02,2018/03/29 14:18:07, ,
36,5048132717,(주)세운고속관광,정원식,9,062,000,90.937,14 10,2018/03/29 14:04:51, ,
37,5048131173,주식회사 경일항공여행사,서종교,9,064,200,90.959,06 13,2018/03/30 12:28:20, ,
38,5048602071,주식회사 쌍마투어,장정운,9,066,470,90.982,14 03,2018/03/29 16:40:13, ,
39,5028614436,(주)스타대구관광,이경숙,9,067,100,90.989,03 06,2018/03/30 08:46:46, ,
40,5048196123,(주)세명여행사,박경미,9,071,000,91.028,05 15,2018/03/29 10:03:56, ,
41,5018119127,(주)쌍마관광,하재춘,9,078,750,91.105,08 13,2018/03/29 15:15:12, ,
42,3298100822,주식회사 오로라관광여행사,김병현,9,078,990,91.108,09 10,2018/03/29 23:05:20, ,
43,5048604818,(주)여행하는 사람들,양현경,9,080,000,91.118,15 03,2018/03/29 11:42:35, ,
44,6168145330,(주)동아투어,이은애,9,081,900,91.137,09 01,2018/03/30 09:48:12, ,
