1,5048600656,주식회사 고속관광영남,박문규,179,295,320,87.033,10 01,2018/03/26 17:33:05, ,
2,5148131753,비젼투어주식회사(Vision Tour Co. , Ltd.),김동휴,179,487,500,87.126,08 14,2018/03/21 13:00:30, ,
3,5048132828,(주)서라벌관광,이기하,180,712,466,87.720,07 02,2018/03/20 13:41:17, ,
4,5038604509,(주) 버스톡,강성광,181,000,327,87.860,03 02,2018/03/27 01:43:25, ,
5,5028601474,경성관광주식회사,박윤주,193,050,000,93.709,12 09,2018/03/27 11:15:39, ,
6,5038134712,동아고속관광주식회사,박경애,195,500,000,94.899,01 10,2018/03/19 18:17:15, ,
7,5138132588,주식회사삼성그린투어,이강태,199,880,000,97.025,08 02,2018/03/27 03:21:31, ,
8,5048130344,(주)대진고속관광,전대진,205,000,000,99.510,01 11,2018/03/27 01:21:03, ,
,5148124005,주식회사 평화고속관광,윤현,177,522,590,86.172,02 05,2018/03/21 18:49:07,낙찰하한선 미달,
